Page Number,Title,Lessons,Price,Image URL,Course Link,Category
1,GenAI Applied to Quantitative Finance: For Control Implementation,5 Lessons,Free,https://import.cdn.thinkific.com/118220/0hkgoKCKTnKKxhQGAEIp_govind_av_httpss.mj.runER3kgo8rubs_based_on_this_theme_create_b2190701-9e82-47ea-b65a-c52d6de94e07_3.png,https://courses.analyticsvidhya.com/courses/genai-applied-to-quantitative-finance-for-control-implementation,
1,"Navigating LLM Tradeoffs: Techniques for Speed, Cost, Scale & Accuracy",6 Lessons,Free,https://import.cdn.thinkific.com/118220/SV5jeKd1Q4iFyzMlUSdw_Thumbnail.png,https://courses.analyticsvidhya.com/courses/navigating-llm-tradeoffs-techniques-for-speed-cost-scale-and-accuracy,
1,Creating Problem-Solving Agents using GenAI for Action Composition,6 Lessons,Free,https://import.cdn.thinkific.com/118220/ih6JsBMgSCWbl9ofgpYg_Thumbnail%20.png,https://courses.analyticsvidhya.com/courses/creating-problem-solving-agents-using-genai-for-action-composition,
1,Improving Real World RAG Systems: Key Challenges & Practical Solutions,12 Lessons,Free,https://import.cdn.thinkific.com/118220/70WfAJhFRsyXXdLQcWIl_281762.jpg,https://courses.analyticsvidhya.com/courses/improving-real-world-rag-systems-key-challenges,
1,Framework to Choose the Right LLM for your Business,6 Lessons,Free,https://import.cdn.thinkific.com/118220/A3lVcQcRRbKN9IBZANvV_cinematic-person-is-looking-customer-journey-map%201.jpg,https://courses.analyticsvidhya.com/courses/choosing-the-right-LLM-for-your-business,
1,Building Smarter LLMs with Mamba and State Space Model,14 Lessons,Free,https://import.cdn.thinkific.com/118220/FbdKUqgKSj2K80QgVl1z_THUMBNAIL%20(1).png,https://courses.analyticsvidhya.com/courses/building-smarter-llms-with-mamba-and-state-space-model,
1,Generative AI - A Way of Life - Free Course,31 Lessons,Free,https://import.cdn.thinkific.com/118220/0hkgoKCKTnKKxhQGAEIp_govind_av_httpss.mj.runER3kgo8rubs_based_on_this_theme_create_b2190701-9e82-47ea-b65a-c52d6de94e07_3.png,https://courses.analyticsvidhya.com/courses/genai-a-way-of-life,
1,Building LLM Applications using Prompt Engineering - Free Course,17 Lessons,Free,https://import.cdn.thinkific.com/118220/GnpgN0uiTA1VO2MpQvTA_3.png,https://courses.analyticsvidhya.com/courses/building-llm-applications-using-prompt-engineering-free,
1,Building Your First Computer Vision Model - Free Course,7 Lessons,Free,https://import.cdn.thinkific.com/118220/cv8WEAZPRtGcSR8A2kBY_cv%20thumbnail.png,https://courses.analyticsvidhya.com/courses/building-your-first-computer-vision-model,
2,Bagging and Boosting ML Algorithms - Free Course,16 Lessons,Free,https://import.cdn.thinkific.com/118220/ZPH29GMrTey5gAaobwAH_Getting%20started%20with%20Decision%20Trees.jpg,https://courses.analyticsvidhya.com/courses/bagging-boosting-ML-Algorithms,
2,MidJourney: From Inspiration to Implementation - Free Course,5 Lessons,Free,https://import.cdn.thinkific.com/118220/NclAzDSwRwedON784y83_QZQvFaQFTFu4cFHZ0O5A_Midjourney%20(1).png,https://courses.analyticsvidhya.com/courses/midjourney_from_inspiration_to_implementation,
2,Understanding Linear Regression - Free Course,10 Lessons,Free,https://import.cdn.thinkific.com/118220/vK6lGCCqSsWtESgG69K1_Foundational%20ML%20Algorithms.png,https://courses.analyticsvidhya.com/courses/free-understanding-linear-regression,
2,The Working of Neural Networks - Free Course,11 Lessons,Free,https://import.cdn.thinkific.com/118220/cu3qVXYTR7WEDj7eYQXS_unnamed.jpg,https://courses.analyticsvidhya.com/courses/The%20Working%20of%20Neural%20Networks,
2,The A to Z of Unsupervised ML - Free Course,13 Lessons,Free,https://import.cdn.thinkific.com/118220/a8FaIfN8SyfgOEhgzcHx_Getting_Started_with_Neural_Networks_307d8d11-d90e-45eb-8885-7d8f59fadc48.png,https://courses.analyticsvidhya.com/courses/free-unsupervised-ml-guide,
2,Building Your first RAG System using LlamaIndex - Free Course,12 Lessons,Free,https://import.cdn.thinkific.com/118220/HSr06pXxRTeF2Lpp6VQl_DALL%C2%B7E%202024-07-03%2011.42.42%20-%20A%20visually%20striking%20representation%20of%20a%20Retrieval-Augmented%20Generation%20(RAG)%20system%20using%20LlamaIndex.%20The%20image%20should%20have%20a%20dark%20background%20with%20int.png,https://courses.analyticsvidhya.com/courses/building-first-rag-systems-using-llamaindex,
2,Data Preprocessing on a Real-World Problem Statement - Free Course,13 Lessons,Free,https://import.cdn.thinkific.com/118220/2BmYWOASeye7uIgp3mHr_Building%20your%20first%20ML%20model.png,https://courses.analyticsvidhya.com/courses/data-preprocessing,
2,Exploring Stability.AI - Free Course,7 Lessons,Free,https://import.cdn.thinkific.com/118220/imiRzsUqTwuQxv4wfyUb_mastering-stable-diffusion-thumbnail_2.png,https://courses.analyticsvidhya.com/courses/exploring-stability-ai,
2,Building a Text Classification Model with Natural Language Processing - Free Course,16 Lessons,Free,https://import.cdn.thinkific.com/118220/YfA6OJ6ATeiwbbvvzb5h_NLP%20Banner.png,https://courses.analyticsvidhya.com/courses/free-building-textclassification-natural-language-processing,
3,Getting Started with Large Language Models,18 Lessons,Free,https://import.cdn.thinkific.com/118220/TwSmk34ARlGMcQu4M8Co_A_Comprehensive_Learning_Path_to_Become_a_Data_Sc_265db306-1f93-496d-827e-0f1e534c9cf1.png,https://courses.analyticsvidhya.com/courses/getting-started-with-llms,
3,Introduction to Generative AI,9 Lessons,Free,https://import.cdn.thinkific.com/118220/CNjAWH6TUaIQt8N5FX9Y_thumbnail%201.png,https://courses.analyticsvidhya.com/courses/introduction-to-generative-ai,
3,Nano Course: Dreambooth-Stable Diffusion for Custom Images,13 Lessons,Free,https://import.cdn.thinkific.com/118220/sU6NzHaSiCPghfiOpQ52_Introduction_to_Natural_Language_Processing_b92e8456-3145-489b-97e7-51925a655b2c.png,https://courses.analyticsvidhya.com/courses/nano-course-dreambooth-stable-diffusion-for-custom-images,
3,A Comprehensive Learning Path for Deep Learning in 2023,72 Lessons,Free,https://files.cdn.thinkific.com/courses/course_card_image_000/580/9901576591074.original.jpg,https://courses.analyticsvidhya.com/courses/a-comprehensive-learning-path-for-deep-learning-in-2023,
3,A Comprehensive Learning Path to Become a Data Scientist in 2024,389 Lessons,Free,https://import.cdn.thinkific.com/118220/1b0s4lDiQluveqaLqKj8_A_Comprehensive_Learning_Path_to_Become_a_Data_Sc_6e902c6d-46bf-4b8b-91cc-24329e68086c.png,https://courses.analyticsvidhya.com/courses/a-comprehensive-learning-path-to-become-a-data-scientist-in-twenty-twenty-four,
3,Nano Course: Building Large Language Models for Code,10 Lessons,Free,https://import.cdn.thinkific.com/118220/OelAeGXrRuGrnkcJSdAO_OG.png,https://courses.analyticsvidhya.com/courses/building-large-language-models-for-code,
3,Certified AI & ML BlackBelt+ Program,N/A,,https://files.cdn.thinkific.com/bundles/bundle_card_image_000/048/808/1719037298.original.png,https://courses.analyticsvidhya.com/bundles/certified-ai-ml-blackbelt-plus,
3,Machine Learning Summer Training,263 Lessons,Free,https://import.cdn.thinkific.com/118220/courses/1903742/zJ10PGDvQPKiGRGM73Dn_icon%282%29%20%281%29.jpg,https://courses.analyticsvidhya.com/courses/machine-learning-summer-training,
3,AI Ethics by Fractal,5 Lessons,₹999,https://import.cdn.thinkific.com/118220/courses/1720521/9MuNm0LRmeWOiy5VjCDB_ai.png,https://courses.analyticsvidhya.com/courses/ai-ethics-fractal,
4,A Comprehensive Learning Path to Become a Data Engineer in 2022,205 Lessons,Free,https://import.cdn.thinkific.com/118220/courses/1667459/Rqbh8QTKShaGKJ6vNiRx_overview%20of%20data%20engineering.jpg,https://courses.analyticsvidhya.com/courses/a-comprehensive-learning-path-to-become-a-data-engineer-in-2022,
4,Certified Business Analytics Program,N/A,₹16999,https://files.cdn.thinkific.com/bundles/bundle_card_image_000/048/438/1719206987.original.png,https://courses.analyticsvidhya.com/bundles/certified-business-analytics-program,
4,Certified Machine Learning Master's Program (MLMP),N/A,₹19999,https://files.cdn.thinkific.com/bundles/bundle_card_image_000/046/940/1719206858.original.png,https://courses.analyticsvidhya.com/bundles/certified-machine-learning-master-s-program-mlmp,
4,Certified Natural Language Processing Master’s Program,N/A,₹13999,https://import.cdn.thinkific.com/118220/moBOBv3RMCKDgEoIi3DK_nlp%20master_thumb.jpg,https://courses.analyticsvidhya.com/bundles/certified-natural-language-processing-master-s-program,
4,Certified Computer Vision Master's Program,N/A,₹12999,https://import.cdn.thinkific.com/118220/BY3BuXPFRuaKZuKdYB5T_thumb_.jpg,https://courses.analyticsvidhya.com/bundles/certified-computer-vision-masters-program,
4,Applied Machine Learning - Beginner to Professional,613 Lessons,₹14999,https://files.cdn.thinkific.com/courses/course_card_image_000/739/8911589353707.original.jpg,https://courses.analyticsvidhya.com/courses/applied-machine-learning-beginner-to-professional,
4,Ace Data Science Interviews,59 Lessons,₹3499,https://import.cdn.thinkific.com/118220/eZzXQDJSgyLlxFiQ5rbu_data_science_interview.jpg,https://courses.analyticsvidhya.com/courses/ace-data-science-interviews,
4,Writing Powerful Data Science Articles,6 Lessons,Free,https://import.cdn.thinkific.com/118220/courses/1292824/YfJD5SeRLaXRxYgVb2uw_icon.png,https://courses.analyticsvidhya.com/courses/writing-powerful-data-science-articles,
4,Machine Learning Certification Course for Beginners,261 Lessons,Free,https://import.cdn.thinkific.com/118220/NjFxaJVSFeAfMSHYoG9Q_Machine_Learning_for_Beginners_b896980a-b1d1-41bc-9bab-d8d3176daaf8.png,https://courses.analyticsvidhya.com/courses/Machine-Learning-Certification-Course-for-Beginners,
